year;open_abs;high_abs;low_abs;close_abs;close_rel_chg;vol_abs;vol_rel_chg;range_abs;range_rel;1d_rel_chg;5d_rel_chg;10d_rel_chg;20d_rel_chg
1982;139.73;142.32;139.72;142.17;0.01753507;64690000;0.028784987;2.6;0.018287965;-0.009847366;-0.026939579;0.032425969;-0.015474432
1982;142.18;142.34;140.75;140.77;-0.009847366;58610000;-0.093986706;1.59;0.01129502;0.00333878;0.004191234;0.035589969;0.006961711
1982;140.77;141.73;140.68;141.24;0.00333878;54810000;-0.064835352;1.05;0.007434155;-0.006442934;0.005097706;0.038586803;0.002124044
1982;141.24;141.68;140.22;140.33;-0.006442934;56380000;0.028644408;1.46;0.010404048;0.002209079;0.035202736;0.038480724;0.028076676
1982;140.34;140.78;140.27;140.64;0.002209079;42110000;-0.253103938;0.51;0.00362628;-0.016353811;0.032281001;0.04273322;0.027517065
1983;140.65;141.33;138.2;138.34;-0.016353811;59080000;0.402992163;3.13;0.022625416;0.021830273;0.061009108;0.060575394;0.050310828
1983;138.33;141.36;138.08;141.36;0.021830273;75530000;0.278436019;3.28;0.023203169;0.004244482;0.031267685;0.03565365;0.011318619
1983;141.35;142.6;141.15;141.96;0.004244482;95390000;0.262941877;1.45;0.010214145;0.023316427;0.033319245;0.023316427;0.008946182
1983;142.01;145.77;142.01;145.27;0.023316427;129410000;0.356641157;3.76;0.025882839;-0.000619536;0.003166518;0.007021408;-0.006952571
1983;145.27;146.46;145.15;145.18;-0.000619536;127290000;-0.016382042;1.31;0.009023281;0.011020802;0.010125362;-0.009161041;0.006612481
1983;145.19;147.25;144.58;146.78;0.011020802;101890000;-0.199544348;2.67;0.018190489;-0.006812917;-0.000408775;-0.046395967;0.001021938
1983;146.79;146.83;145.38;145.78;-0.006812917;98250000;-0.035724801;1.45;0.009946495;0.006242283;0.004252984;-0.027644396;-0.000548772
1983;145.76;148.36;145.76;146.69;0.006242283;109850000;0.118066158;2.6;0.017724453;-0.006544413;-0.009680278;-0.035108051;-0.011520894
1983;146.67;146.94;145.67;145.73;-0.006544413;77030000;-0.298771051;1.27;0.008714746;0.006313045;0.003842723;-0.010018527;0.012145749
1983;145.72;147.12;145.72;146.65;0.006313045;86480000;0.122679476;1.4;0.009546539;0.000477327;-0.019093079;-0.014592567;0.006818957
